0.000000000000000000e+00 2.707150216994889599e-02 9.300528544133252959e-03
1.118090452261306586e-02 3.012348658200519197e-02 8.741120816419393688e-03
2.236180904522613172e-02 3.316787972820125358e-02 8.199905737857419649e-03
3.354271356783920105e-02 3.620345245382758370e-02 7.677109225902932314e-03
4.472361809045226344e-02 3.922898690059990756e-02 7.172980605318598872e-03
5.590452261306532583e-02 4.224327749844448976e-02 6.687798798750380948e-03
6.708542713567840210e-02 4.524513194371793806e-02 6.221879809206160017e-03
7.826633165829145755e-02 4.823337216258954951e-02 5.775585720281688207e-03
8.944723618090452688e-02 5.120683525860000862e-02 5.349335421600393686e-03
1.006281407035175962e-01 5.416437444318310951e-02 4.943617184656307582e-03
1.118090452261306517e-01 5.710485994813037369e-02 4.559003009246496638e-03
1.229899497487437210e-01 6.002717991895228228e-02 4.196164233954569750e-03
1.341708542713568042e-01 6.293024128806332107e-02 3.855887098614345972e-03
1.453517587939698597e-01 6.581297062680797894e-02 3.539085535080587017e-03
1.565326633165829151e-01 6.867431497536775897e-02 3.246806171288634836e-03
1.677135678391959706e-01 7.151324264955322141e-02 2.980217164500793478e-03
1.788944723618090538e-01 7.432874402361588917e-02 2.740568256762661997e-03
1.900753768844221370e-01 7.711983228816514380e-02 2.529105710613861399e-03
2.012562814070351924e-01 7.988554418231313958e-02 2.346925941996700401e-03
2.124371859296482479e-01 8.262494069927731055e-02 2.194761463029968468e-03
2.236180904522613033e-01 8.533710776463088177e-02 2.072717606004684330e-03
2.347989949748743865e-01 8.802115688641996838e-02 1.980015928027436915e-03
2.459798994974874420e-01 9.067622577652273419e-02 1.914831278174043130e-03
2.571608040201004974e-01 9.330147894245982565e-02 1.874303744628822484e-03
2.683417085427136084e-01 9.589610824913055720e-02 1.854749591514349375e-03
2.795226130653266083e-01 9.845933344980550839e-02 1.852014722429787567e-03
2.907035175879397193e-01 1.009904026858719356e-01 1.861863842607138202e-03
3.018844221105527748e-01 1.034885929547944006e-01 1.880307137027385431e-03
3.130653266331658302e-01 1.059532105458239476e-01 1.903815007498581508e-03
3.242462311557789412e-01 1.083835914430362202e-01 1.929421418108110591e-03
3.354271356783919411e-01 1.107791016953222074e-01 1.954744453205091090e-03
3.466080402010050521e-01 1.131391377529890052e-01 1.977958421080541242e-03
3.577889447236181075e-01 1.154631267706555109e-01 1.997745326014506179e-03
3.689698492462311630e-01 1.177505268762435719e-01 2.013243900969011700e-03
3.801507537688442739e-01 1.200008274058295965e-01 2.024006241491952806e-03
3.913316582914572739e-01 1.222135491041442534e-01 2.029966556736139197e-03
4.025125628140703848e-01 1.243882442907833091e-01 2.031423208351285960e-03
4.136934673366834403e-01 1.265244969918276896e-01 2.029033173942935975e-03
4.248743718592964957e-01 1.286219230370163891e-01 2.023816540864677594e-03
4.360552763819095512e-01 1.306801701224770684e-01 2.017166982706940920e-03
4.472361809045226066e-01 1.326989178390235447e-01 2.010861984507159028e-03
4.584170854271357176e-01 1.346778776661431143e-01 2.007063770896019231e-03
4.695979899497487731e-01 1.366167929319146990e-01 2.008298917932622649e-03
4.807788944723617730e-01 1.385154387389641306e-01 2.017402842678118861e-03
4.919597989949748840e-01 1.403736218567568084e-01 2.037417102427597354e-03
5.031407035175879949e-01 1.421911805804972617e-01 2.071435308836215225e-03
5.143216080402009949e-01 1.439679845569845906e-01 2.122408289524766681e-03
5.255025125628141058e-01 1.457039345778078365e-01 2.192937232608999608e-03
5.366834170854272168e-01 1.473989623402418569e-01 2.285096190192338790e-03
5.478643216080402167e-01 1.490530301764013688e-01 2.400323199540906581e-03
5.590452261306532167e-01 1.506661307510526460e-01 2.539400372208067136e-03
5.702261306532663276e-01 1.522382867286859176e-01 2.702516398156869747e-03
5.814070351758794386e-01 1.537695504104046873e-01 2.889383762406412884e-03
5.925879396984925496e-01 1.552600033412268876e-01 3.099376107755466916e-03
6.037688442211055495e-01 1.567097558884810726e-01 3.331657401426829732e-03
6.149497487437185494e-01 1.581189467919717762e-01 3.585286739896767147e-03
6.261306532663316604e-01 1.594877426865994596e-01 3.859293975739233086e-03
6.373115577889447714e-01 1.608163375982506471e-01 4.152728658259017235e-03
6.484924623115578823e-01 1.621049524136557174e-01 4.464687982824128674e-03
6.596733668341708823e-01 1.633538343251501601e-01 4.794329881952018313e-03
6.708542713567838822e-01 1.645632562510351837e-01 5.140876475318053099e-03
6.820351758793969932e-01 1.657335162325144218e-01 5.503611782074234633e-03
6.932160804020101041e-01 1.668649368080659112e-01 5.881876374215872123e-03
7.043969849246232151e-01 1.679578643661888415e-01 6.275060688418842604e-03
7.155778894472362150e-01 1.690126684774048427e-01 6.682598029488076574e-03
7.267587939698492150e-01 1.700297412065939762e-01 7.103957843035673542e-03
7.379396984924623260e-01 1.710094964065187462e-01 7.538639546968136339e-03
7.491206030150754369e-01 1.719523689936646726e-01 7.986167037906024418e-03
7.603015075376885479e-01 1.728588142073191058e-01 8.446083889507944795e-03
7.714824120603015478e-01 1.737293068530021134e-01 8.917949206982167185e-03
7.826633165829145478e-01 1.745643405312414520e-01 9.401334077367665132e-03
7.938442211055276587e-01 1.753644268528022354e-01 9.895818546625271758e-03
8.050251256281407697e-01 1.761300946414075530e-01 1.040098905495578062e-02
8.162060301507538806e-01 1.768618891250847980e-01 1.091643626665512318e-02
8.273869346733668806e-01 1.775603711171521715e-01 1.144175323759957612e-02
8.385678391959798805e-01 1.782261161880193123e-01 1.197653387081475639e-02
8.497487437185929915e-01 1.788597138288930966e-01 1.252037161763022884e-02
